,0,1,2,3,4,5,6
83,1,4.079185141976039e-06,3,1.2237555425928117e-05,1.0,245147.0,POSITIVE
84,1,0.0008481764206955047,2,0.0016963528413910093,1.0,1179.0,POSITIVE
85,0,0.0,0,0.0,0.0,805.0,POSITIVE
86,0,0.0,1,0.0028169014084507044,0.0,355.0,POSITIVE
87,0,0.0,0,0.0,0.0,3547.0,POSITIVE
88,0,0.0,0,0.0,0.0,1526.0,POSITIVE
89,0,0.0,0,0.0,0.0,741.0,POSITIVE
90,0,0.0,1,0.005025125628140704,0.0,199.0,POSITIVE
91,0,0.0,0,0.0,0.0,2885.0,POSITIVE
92,0,0.0,1,0.000591016548463357,0.0,1692.0,POSITIVE
93,0,0.0,0,0.0,0.0,360.0,POSITIVE
94,1,0.0009124087591240876,1,0.0009124087591240876,1.0,1096.0,POSITIVE
95,0,0.0,0,0.0,0.0,895.0,POSITIVE
96,0,0.0,0,0.0,0.0,2395.0,POSITIVE
97,1,0.02040816326530612,2,0.04081632653061224,1.0,49.0,POSITIVE
98,0,0.0,0,0.0,0.0,598.0,POSITIVE
99,0,0.0,0,0.0,0.0,196.0,POSITIVE
100,1,0.0004175365344467641,0,0.0,1.0,2395.0,POSITIVE
101,0,0.0,0,0.0,0.0,835.0,POSITIVE
102,0,0.0,2,0.007692307692307693,0.0,260.0,POSITIVE
103,1,0.0008058017727639,1,0.0008058017727639,1.0,1241.0,POSITIVE
104,1,0.001049317943336831,1,0.001049317943336831,1.0,953.0,POSITIVE
105,0,0.0,0,0.0,0.0,7816.0,POSITIVE
106,0,0.0,0,0.0,0.0,8665.0,POSITIVE
107,0,0.0,0,0.0,0.0,1.0,POSITIVE
108,0,0.0,0,0.0,0.0,3374.0,POSITIVE
109,0,0.0,0,0.0,0.0,114.0,POSITIVE
110,0,0.0,1,0.006134969325153374,0.0,163.0,POSITIVE
111,0,0.0,0,0.0,0.0,2069.0,POSITIVE
112,0,0.0,1,0.0007930214115781126,0.0,1261.0,POSITIVE
113,1,0.00014349261013057828,1,0.00014349261013057828,1.0,6969.0,POSITIVE
114,0,0.0,0,0.0,0.0,242.0,POSITIVE
115,0,0.0,0,0.0,0.0,232.0,POSITIVE
116,0,0.0,0,0.0,0.0,2043.0,POSITIVE
117,0,0.0,0,0.0,0.0,2.0,POSITIVE
118,0,0.0,0,0.0,0.0,1681.0,POSITIVE
119,0,0.0,0,0.0,0.0,3151.0,POSITIVE
120,0,0.0,0,0.0,0.0,6230.0,POSITIVE
121,0,0.0,0,0.0,0.0,537.0,POSITIVE
122,0,0.0,0,0.0,0.0,7402.0,POSITIVE
123,0,0.0,0,0.0,0.0,2434.0,POSITIVE
124,2,7.26377302162062e-06,4,1.452754604324124e-05,1.0,275339.0,POSITIVE
125,5,0.0008821453775582216,4,0.0007057163020465773,1.0,5668.0,POSITIVE
126,0,0.0,0,0.0,0.0,655.0,POSITIVE
127,0,0.0,0,0.0,0.0,5128.0,POSITIVE
128,0,0.0,0,0.0,0.0,217.0,POSITIVE
129,0,0.0,0,0.0,0.0,16684.0,POSITIVE
130,0,0.0,1,0.006622516556291391,0.0,151.0,POSITIVE
131,1,0.009523809523809525,1,0.009523809523809525,1.0,105.0,POSITIVE
132,0,0.0,0,0.0,0.0,2739.0,POSITIVE
133,0,0.0,0,0.0,0.0,43.0,POSITIVE
134,0,0.0,0,0.0,0.0,2190.0,POSITIVE
135,0,0.0,0,0.0,0.0,279.0,POSITIVE
136,0,0.0,0,0.0,0.0,346.0,POSITIVE
137,0,0.0,2,0.007168458781362007,0.0,279.0,POSITIVE
138,0,0.0,0,0.0,0.0,2224.0,POSITIVE
139,0,0.0,0,0.0,0.0,443.0,POSITIVE
140,1,0.0009615384615384616,3,0.0028846153846153848,1.0,1040.0,POSITIVE
141,0,0.0,0,0.0,0.0,2133.0,POSITIVE
142,0,0.0,0,0.0,0.0,54.0,POSITIVE
143,0,0.0,1,0.0004032258064516129,0.0,2480.0,POSITIVE
144,0,0.0,0,0.0,0.0,90.0,POSITIVE
145,0,0.0,0,0.0,0.0,3151.0,POSITIVE
146,18,0.0001515674601503886,21,0.0001768287035087867,1.0,118759.0,POSITIVE
147,0,0.0,0,0.0,0.0,130.0,POSITIVE
148,0,0.0,1,0.014084507042253521,0.0,71.0,POSITIVE
